,Product_Name,orgprice,Price,Processor,Battry_Type,Ratings,No_ratings,No_reviews,Warrenty,Colour,Battery,RAM,ROM,Display,Rear_cam
332,REDMI Note 9 ,"14,999","10,999", Helio G85 ,MediaTek,4.4,"31,861","2,379 ", 6 , Pebble Grey,5020 ,4 , 64 , 6.53 ,48 
333,realme C20 ,"7,999","6,799", Helio G35 ,MediaTek,4.4,"20,960",958 , 6 , Cool Grey,5000 ,2 , 32 , 6.5 ,8 
334,realme C20 ,"7,999","6,799", Helio G35 ,MediaTek,4.4,"20,960",958 , 6 , Cool Blue,5000 ,2 , 32 , 6.5 ,8 
335,POCO M3 ,"14,999","11,999", Snapdragon 662 ,Qualcomm,4.3,"1,34,621","10,102 ", 6 , Cool Blue,6000 ,6 , 128 , 6.53 ,48 
336,realme Narzo 30A ,"10,999","9,499", Helio G85 ,MediaTek,4.4,"43,956","2,677 ", 6 , Laser Blue,6000 ,4 , 64 , 6.51 ,13 
337,realme Narzo 30A ,"10,999","9,499", Helio G85 ,MediaTek,4.4,"43,956","2,677 ", 6 , Laser Black,6000 ,4 , 64 , 6.51 ,13 
338,realme Narzo 30A ,"9,999","8,499", Helio G85 ,MediaTek,4.4,"28,814","1,956 ", 6 , Laser Black,6000 ,3 , 32 , 6.51 ,13 
339,realme Narzo 30A ,"9,999","8,499", Helio G85 ,MediaTek,4.4,"28,814","1,956 ", 6 , Laser Blue,6000 ,3 , 32 , 6.51 ,13 
340,REDMI 9i ,"9,999","7,999", Helio G25 ,MediaTek,4.3,"2,87,592","16,273 ", 1 , Midnight Black,5000 ,4 , 64 , 6.53 ,13 
341,OPPO A53 ,"17,990","12,990", Snapdragon 460 ,Qualcomm,4.4,"8,931",511 , 1 , Mint Cream,5000 ,6 , 128 , 6.5 ,13 
342,REDMI 9 Power ,"13,999","9,999", Snapdragon 662 ,Qualcomm,4.3,"34,740","2,604 ", 6 , Blazing Blue,6000 ,4 , 64 , 6.53 ,48 
343,REDMI 9 Power ,"13,999","9,999", Snapdragon 662 ,Qualcomm,4.3,"34,740","2,604 ", 6 , Electric Green,6000 ,4 , 64 , 6.53 ,48 
344,realme Narzo 20 ,"12,999","10,499", Helio G85 ,MediaTek,4.3,"4,17,357","32,448 ", 1 , Glory Silver,6000 ,4 , 64 , 6.52 ,48 
345,REDMI 9i ,"9,999","7,999", Helio G25 ,MediaTek,4.3,"2,87,592","16,273 ", 1 , Sea Blue,5000 ,4 , 64 , 6.53 ,13 
346,POCO M3 ,"14,999","11,999", Snapdragon 662 ,Qualcomm,4.3,"1,34,621","10,102 ", 6 , Power Black,6000 ,6 , 128 , 6.53 ,48 
347,realme Narzo 20 ,"13,999","11,499", Helio G85 ,MediaTek,4.3,"4,17,357","32,448 ", 1 , Victory Blue,6000 ,4 , 128 , 6.52 ,48 
348,realme Narzo 20 ,"13,999","11,499", Helio G85 ,MediaTek,4.3,"4,17,357","32,448 ", 1 , Glory Silver,6000 ,4 , 128 , 6.52 ,48 
349,REDMI 9 Power ,"13,999","9,999", Snapdragon 662 ,Qualcomm,4.3,"34,740","2,604 ", 6 , Mighty Black,6000 ,4 , 64 , 6.53 ,48 
350,Infinix Hot 10 Play ,"10,999","8,499", Helio G35 ,MediaTek,4.3,"9,769",752 , 6 , Aegean Blue,6000 ,4 , 64 , 6.82 ,13 
351,POCO C3 ,"10,999","8,499", Helio G35 ,Mediatek,4.3,"1,64,922","10,275 ", 6 , Arctic Blue,5000 ,4 , 64 , 6.53 ,13 
352,Infinix Smart 4 Plus ,"9,999","7,999", Helio A25 ,Mediatek,4.4,"1,57,585","13,334 ", 6 , Ocean Wave,6000 ,3 , 32 , 6.82 ,13 
353,Infinix Smart 4 Plus ,"9,999","7,999", Helio A25 ,Mediatek,4.4,"1,57,585","13,334 ", 6 , Quetzal Cyan,6000 ,3 , 32 , 6.82 ,13 
354,Infinix Smart 4 Plus ,"9,999","7,999", Helio A25 ,Mediatek,4.4,"1,57,585","13,334 ", 6 , Midnight Black,6000 ,3 , 32 , 6.82 ,13 
